"part_id","panel_id","part_occupation","part_education","multiple_contacts_child_work","multiple_contacts_child_school","multiple_contacts_child_other","multiple_contacts_adult_work","multiple_contacts_adult_school","multiple_contacts_adult_other","multiple_contacts_older_adult_work","multiple_contacts_older_adult_school","multiple_contacts_older_adult_other","multiple_contacts_child_work_phys","multiple_contacts_child_school_phys","multiple_contacts_child_other_phys","multiple_contacts_adult_work_phys","multiple_contacts_adult_school_phys","multiple_contacts_adult_other_phys","multiple_contacts_older_adult_work_phys","multiple_contacts_older_adult_school_phys","multiple_contacts_older_adult_other_phys"
1281804,12818,NA,NA,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1282104,12821,"skilled worker","Technical, artistic or professional lower secondary education (first 3 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1282204,12822,"other employee who mainly performs office work","Higher education: graduat, candidature, bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1282604,12826,"skilled worker","Technical or artistic upper secondary education (6 years)",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1283004,12830,NA,NA,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1283104,12831,"retired","Professional upper secondary (6 years)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1283304,12833,"other employee who mainly performs office work","Higher education: graduat, candidature, bachelor",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1283504,12835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1283604,12836,NA,NA,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0
1283804,12838,"unable for work","General lower secondary education (first 3 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1284204,12842,NA,NA,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0
1284404,12844,"skilled worker","General lower secondary education (first 3 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1284504,12845,NA,NA,0,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0
1284804,12848,"middle management, that is not part of the general management, responsible for 5 employees or less","Technical or artistic upper secondary education (6 years)",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1285304,12853,"other employee who mainly performs office work","University education: bachelor's degree, post-graduate, master's degree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1285404,12854,"other employee who does not do office work (eg teacher, nurses ...)","Technical or artistic upper secondary education (6 years)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1285604,12856,"member of the general management, senior executive responsible for 5 employees or less","Technical, artistic or professional lower secondary education (first 3 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1285704,12857,"middle management, that is not part of the general management, responsible for 5 employees or less","Higher education: graduat, candidature, bachelor",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1285904,12859,"non-skilled worker","Technical, artistic or professional lower secondary education (first 3 years completed)",0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0
1286104,12861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1286204,12862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1286604,12866,"pre-retired","General lower secondary education (first 3 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1286804,12868,"liberal profession or profession for which qualification is required","Higher education: graduat, candidature, bachelor",0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
1286904,12869,"middle management, that is not part of the general management, responsible for 6 employees or more","Higher education: graduat, candidature, bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1287004,12870,"craftsman, trader with 5 employees or less","Complementary master",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1287204,12872,"other employee who mainly performs office work","General upper secondary education (6 years completed)",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1287504,12875,"other employee who mainly performs office work","Higher education: graduat, candidature, bachelor",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1287704,12877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1287804,12878,"other employee who mainly performs office work","University education: bachelor's degree, post-graduate, master's degree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1288504,12885,"unable for work","Higher education: graduat, candidature, bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1288704,12887,"middle management, that is not part of the general management, responsible for 6 employees or more","Higher education: graduat, candidature, bachelor",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
1288904,12889,"other employee who mainly performs office work","Higher education: graduat, candidature, bachelor",0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0
1289204,12892,"other employee who mainly performs office work","Higher education: graduat, candidature, bachelor",0,0,3,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0
1289304,12893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1289504,12895,"skilled worker","Complementary master",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1289604,12896,"other employee who mainly performs office work","Higher education: graduat, candidature, bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1289904,12899,"other employee who does not do office work (eg teacher, nurses ...)","General upper secondary education (6 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1290004,12900,"other employee who mainly performs office work","Higher education: graduat, candidature, bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1290104,12901,"unemployed","Technical or artistic upper secondary education (6 years)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1290204,12902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1290704,12907,NA,NA,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
1290804,12908,"skilled worker","Technical or artistic upper secondary education (6 years)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1291304,12913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1291604,12916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1291704,12917,"retired","University education: bachelor's degree, post-graduate, master's degree",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1292004,12920,NA,NA,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1,0,0,0
1292104,12921,NA,NA,0,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1292304,12923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1292504,12925,NA,NA,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0
1292804,12928,"other employee who mainly performs office work","Technical, artistic or professional lower secondary education (first 3 years completed)",0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,84
1292904,12929,"other employee who mainly performs office work","Complementary master",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1293404,12934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1293504,12935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1294104,12941,"retired","University education: bachelor's degree, post-graduate, master's degree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1294204,12942,NA,NA,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1294304,12943,"retired","Higher education: graduat, candidature, bachelor",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1294404,12944,"retired","General upper secondary education (6 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1294504,12945,"other employee who does not do office work (eg teacher, nurses ...)","Technical, artistic or professional lower secondary education (first 3 years completed)",0,0,0,0,0,4,0,0,1,0,0,0,3,0,0,0,0,0
1294604,12946,"other employee who mainly performs office work","University education: bachelor's degree, post-graduate, master's degree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1294804,12948,"other employee who mainly performs office work","General upper secondary education (6 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1295304,12953,NA,NA,0,12,0,0,1,0,0,1,0,0,8,0,0,0,0,0,0,0
1296304,12963,"other employee who does not do office work (eg teacher, nurses ...)","Professional upper secondary (6 years)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1296404,12964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1296704,12967,"other employee who mainly performs office work","University education: bachelor's degree, post-graduate, master's degree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1296904,12969,NA,NA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1297704,12977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1298004,12980,"student","University education: bachelor's degree, post-graduate, master's degree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1298604,12986,NA,NA,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1298704,12987,NA,NA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1298804,12988,"other employee who does not do office work (eg teacher, nurses ...)","Technical, artistic or professional lower secondary education (first 3 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1298904,12989,"craftsman, trader with 5 employees or less","Higher education: graduat, candidature, bachelor",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1299404,12994,"other employee who mainly performs office work","University education: bachelor's degree, post-graduate, master's degree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1299704,12997,"other employee who mainly performs office work","Technical or artistic upper secondary education (6 years)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1299804,12998,"retired","Higher education: graduat, candidature, bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1299904,12999,"liberal profession or profession for which qualification is required","Professional upper secondary (6 years)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1300004,13000,"retired","Technical or artistic upper secondary education (6 years)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1300204,13002,"skilled worker","Technical, artistic or professional lower secondary education (first 3 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1300304,13003,"retired","University education: bachelor's degree, post-graduate, master's degree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1300404,13004,"other employee who mainly performs office work","General upper secondary education (6 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1300504,13005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1300604,13006,"other employee who does not do office work (eg teacher, nurses ...)","General upper secondary education (6 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1300804,13008,"retired","Without a diploma or primary education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1300904,13009,"middle management, that is not part of the general management, responsible for 5 employees or less","University education: bachelor's degree, post-graduate, master's degree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1301004,13010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1301104,13011,"unable for work","General upper secondary education (6 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1301204,13012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1301404,13014,"other employee who does not do office work (eg teacher, nurses ...)","Professional upper secondary (6 years)",0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1301504,13015,"retired","General upper secondary education (6 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1301704,13017,"retired","General upper secondary education (6 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1301904,13019,"retired","Professional upper secondary (6 years)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1302004,13020,"other employee who mainly performs office work","General lower secondary education (first 3 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1302104,13021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1302304,13023,"retired","Technical, artistic or professional lower secondary education (first 3 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1302404,13024,"other","Technical or artistic upper secondary education (6 years)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1302504,13025,"other employee who mainly performs office work","Higher education: graduat, candidature, bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1302604,13026,"other employee who does not do office work (eg teacher, nurses ...)","General upper secondary education (6 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1302704,13027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1302804,13028,"retired","General upper secondary education (6 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1302904,13029,"retired","Technical or artistic upper secondary education (6 years)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1303004,13030,"retired","University education: bachelor's degree, post-graduate, master's degree",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1303104,13031,"retired","Technical or artistic upper secondary education (6 years)",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1303204,13032,"retired","General upper secondary education (6 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1303304,13033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1303404,13034,"liberal profession or profession for which qualification is required","University education: bachelor's degree, post-graduate, master's degree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1303704,13037,"retired","General upper secondary education (6 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1303804,13038,"retired","Higher education: graduat, candidature, bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1303904,13039,"retired","Higher education: graduat, candidature, bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1304004,13040,"retired","General upper secondary education (6 years completed)",0,0,2,0,2,1,2,2,1,0,0,0,0,0,0,0,0,2
1304104,13041,"retired","Higher education: graduat, candidature, bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1304204,13042,"retired","Higher education: graduat, candidature, bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1304404,13044,"unable for work","Technical, artistic or professional lower secondary education (first 3 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1304504,13045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1304604,13046,"retired","Higher education: graduat, candidature, bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1304704,13047,"middle management, that is not part of the general management, responsible for 5 employees or less","Higher education: graduat, candidature, bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1304804,13048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1305104,13051,"retired","Higher education: graduat, candidature, bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1305204,13052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1305304,13053,"other employee who mainly performs office work","University education: bachelor's degree, post-graduate, master's degree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1305404,13054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1305504,13055,"other employee who does not do office work (eg teacher, nurses ...)","General upper secondary education (6 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1305604,13056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1305704,13057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1305904,13059,"skilled worker","Technical or artistic upper secondary education (6 years)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1306004,13060,"retired","Higher education: graduat, candidature, bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1306204,13062,"retired","General lower secondary education (first 3 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1306304,13063,"other employee who mainly performs office work","University education: bachelor's degree, post-graduate, master's degree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1306404,13064,"other employee who mainly performs office work","Higher education: graduat, candidature, bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1306504,13065,"unable for work","Professional upper secondary (6 years)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1306704,13067,"other employee who mainly performs office work","General upper secondary education (6 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1306904,13069,"unemployed","Complementary master",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1307004,13070,"unable for work","General upper secondary education (6 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1307104,13071,"retired","Higher education: graduat, candidature, bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1307204,13072,"craftsman, trader with 5 employees or less","General upper secondary education (6 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1307304,13073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1307404,13074,"retired","University education: bachelor's degree, post-graduate, master's degree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1307504,13075,"retired","Higher education: graduat, candidature, bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1307604,13076,"retired","Professional upper secondary (6 years)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1307704,13077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1307804,13078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1307904,13079,"retired","University education: bachelor's degree, post-graduate, master's degree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1308104,13081,"retired","General upper secondary education (6 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1308304,13083,"retired","University education: bachelor's degree, post-graduate, master's degree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1308404,13084,"retired","Technical or artistic upper secondary education (6 years)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1308604,13086,"craftsman, trader with 5 employees or less","General upper secondary education (6 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1308704,13087,"middle management, that is not part of the general management, responsible for 6 employees or more","University education: bachelor's degree, post-graduate, master's degree",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
1308804,13088,"other employee who mainly performs office work","General upper secondary education (6 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1308904,13089,"retired","Higher education: graduat, candidature, bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1309004,13090,"unable for work","Higher education: graduat, candidature, bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1309204,13092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1309304,13093,"retired","University education: bachelor's degree, post-graduate, master's degree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1309404,13094,"retired","General upper secondary education (6 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1309504,13095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1309604,13096,"retired","Technical, artistic or professional lower secondary education (first 3 years completed)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1309704,13097,"pre-retired","Higher education: graduat, candidature, bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1309804,13098,"retired","Professional upper secondary (6 years)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1309904,13099,"farmer","Professional upper secondary (6 years)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1310004,13100,"liberal profession or profession for which qualification is required","Higher education: graduat, candidature, bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1310104,13101,"retired","Without a diploma or primary education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1310204,13102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1310304,13103,"other employee who does not do office work (eg teacher, nurses ...)","General upper secondary education (6 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1310404,13104,"retired","Higher education: graduat, candidature, bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1310504,13105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1310704,13107,"retired","General lower secondary education (first 3 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1311104,13111,"retired","Higher education: graduat, candidature, bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1311204,13112,"retired","Higher education: graduat, candidature, bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1311304,13113,"retired","Higher education: graduat, candidature, bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1311404,13114,"retired","Higher education: graduat, candidature, bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1311504,13115,"retired","Technical, artistic or professional lower secondary education (first 3 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1311704,13117,"retired","Technical, artistic or professional lower secondary education (first 3 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1311804,13118,"liberal profession or profession for which qualification is required","General upper secondary education (6 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1311904,13119,"retired","University education: bachelor's degree, post-graduate, master's degree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1312104,13121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1312304,13123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
